id,address,categories,primaryCategories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.description,menus.name,name,postalCode,priceRangeMin,priceRangeMax,province
AVwcr0iskufWRAb5x6lr,8111 Rowlock Way,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Raleigh,US,us/nc/raleigh/8111rowlockway/1763694843,35.884857,-78.737707,,11.99,11.99,,"15"" Plain Cheese Pizza",Tonys Pizza,27613,0,25,NC
AVwdfIbIByjofQCxplnX,4111 Main St,"Pizza,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Philadelphia,US,us/pa/philadelphia/4111mainst/-404553877,40.022413,-75.218579,,4.5,4.5,,Pizza Fries,Mikes Pizza,19127,0,25,PA
AVwedtwTIN2L1WUf5Kjd,4024 Canal St,Pizza Place,Accommodation & Food Services,New Orleans,US,us/la/neworleans/4024canalst/1763771589,29.974032,-90.100317,,12.25,12.25,,Bacon & Blue Cheese Pizza,Theos Neighborhood Pizza,70119,25,40,LA
AVwedtwTIN2L1WUf5Kjd,4024 Canal St,Pizza Place,Accommodation & Food Services,New Orleans,US,us/la/neworleans/4024canalst/1763771589,29.974032,-90.100317,,12.25,12.25,,Chicken Pesto Pizza,Theos Neighborhood Pizza,70119,25,40,LA
AVwedtwTIN2L1WUf5Kjd,4024 Canal St,Pizza Place,Accommodation & Food Services,New Orleans,US,us/la/neworleans/4024canalst/1763771589,29.974032,-90.100317,,13.5,13.5,,Big Dave's Buffalo Chicken Pizza,Theos Neighborhood Pizza,70119,25,40,LA
AVwdixeC_7pvs4fz67Pw,1584 N Woodland Blvd,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,DeLand,US,us/fl/deland/1584nwoodlandblvd/-874863116,29.046703,-81.303817,http://www.citysearch.com/profile/menu/2349150?singlePlatformId=hungry-howies-pizza-129,4.89,4.89,pizza sauce pepperoni and mozzarella cheese,Pizza Sub,Hungry Howies Pizza,32720,0,25,FL
AVwdixeC_7pvs4fz67Pw,1584 N Woodland Blvd,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,DeLand,US,us/fl/deland/1584nwoodlandblvd/-874863116,29.046703,-81.303817,http://www.citysearch.com/profile/menu/2349150?singlePlatformId=hungry-howies-pizza-129,6.99,6.99,,1 Topping Pizza,Hungry Howies Pizza,32720,0,25,FL
AVwdixeC_7pvs4fz67Pw,1584 N Woodland Blvd,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,DeLand,US,us/fl/deland/1584nwoodlandblvd/-874863116,29.046703,-81.303817,http://www.citysearch.com/profile/menu/2349150?singlePlatformId=hungry-howies-pizza-129,19.99,19.99,,Plue 2 liter Soda with 2ampcomma Pizza,Hungry Howies Pizza,32720,0,25,FL
AVwdixeC_7pvs4fz67Pw,1584 N Woodland Blvd,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,DeLand,US,us/fl/deland/1584nwoodlandblvd/-874863116,29.046703,-81.303817,http://www.citysearch.com/profile/menu/2349150?singlePlatformId=hungry-howies-pizza-129,5,5,2nd pizza of equal or lesser value,Each 2nd Pizza,Hungry Howies Pizza,32720,0,25,FL
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/1477yorkave/960433863,40.770825,-73.95102,,11.75,11.75,Round white pie topped with fresh mozzarella ricotta and Parmesan cheese,12ampquot White Pizza,Salvos Pizzabar,10075,25,40,NY
